code,date
159800,2012-07-05
361580,2020-08-21
285000,2017-12-08
287300,2017-12-22
287310,2017-12-22
290080,2018-02-27
284980,2017-12-08
287320,2017-12-22
287330,2017-12-22
284990,2017-12-08
285010,2017-12-08
148020,2011-10-20
285020,2017-12-08
315480,2019-01-15
422420,2022-04-08
105780,2008-10-22
290130,2018-02-27
368200,2020-11-10
367760,2020-10-29
367770,2020-10-29
427110,2022-05-17
388280,2021-06-10
427120,2022-05-17
326240,2019-06-20
385560,2021-05-26
385550,2021-05-26
385540,2021-05-26
270800,2017-07-07
319870,2019-03-19
292050,2018-03-26
403990,2021-10-29
234310,2016-02-02
241390,2016-04-12
401170,2021-10-13
300640,2018-07-24
266160,2017-04-14
114100,2009-07-29
295000,2018-05-11
432600,2022-06-14
397420,2021-08-31
276650,2017-08-17
437370,2022-07-29
375270,2021-01-14
411720,2021-12-22
417450,2022-02-15
399580,2021-10-21
336160,2019-10-29
326230,2019-06-20
272560,2017-06-29
196230,2014-05-19
315960,2019-01-22
252730,2016-10-14
252720,2016-10-14
379780,2021-04-09
219390,2015-06-02
354240,2020-05-19
368590,2020-11-06
437350,2022-07-29
267440,2017-04-20
388420,2021-06-10
140570,2011-04-15
140580,2011-04-15
379790,2021-04-09
183710,2013-10-17
310080,2018-11-28
174360,2013-06-04
136340,2011-04-15
281990,2017-11-02
272570,2017-06-29
250730,2016-08-10
371150,2020-12-16
183700,2013-10-17
270810,2017-06-16
302450,2018-07-24
334690,2019-09-24
253280,2016-09-23
253290,2016-09-23
407310,2021-11-24
332930,2019-08-28
293180,2018-03-30
395290,2021-07-30
395280,2021-07-30
368190,2020-11-10
402460,2021-10-13
395270,2021-07-30
367740,2020-10-29
407300,2021-11-24
381560,2021-04-02
381570,2021-04-02
346000,2020-01-16
304760,2018-08-14
404470,2021-10-29
332940,2019-08-28
322400,2019-04-23
322410,2019-04-23
354350,2020-05-12
432850,2022-06-08
424460,2022-04-19
401590,2021-09-30
314700,2018-12-21
390950,2021-06-25
432840,2022-06-08
419170,2022-02-22
434730,2022-06-28
304770,2018-08-14
375760,2021-02-05
140950,2011-05-03
152870,2012-02-13
192720,2014-02-20
434960,2022-06-28
403790,2021-10-13
137930,2011-02-15
407160,2021-11-16
407170,2021-11-16
310960,2018-11-20
227550,2015-09-23
227560,2015-09-23
102110,2008-04-03
252000,2016-09-20
315270,2019-01-15
289480,2018-02-09
227540,2015-09-23
305540,2018-09-12
365040,2020-09-29
357870,2020-07-07
400970,2021-10-13
396500,2021-08-10
377990,2021-03-05
417630,2022-02-08
364960,2020-10-07
364980,2020-10-07
292160,2018-03-26
364990,2020-10-07
404540,2021-10-29
364970,2020-10-07
365000,2020-10-07
300610,2018-07-24
138530,2011-03-10
289260,2018-02-07
289250,2018-02-07
310970,2018-11-20
143850,2011-07-18
269370,2017-05-16
292150,2018-03-30
139280,2011-04-06
237440,2016-01-27
319640,2019-04-09
160580,2012-12-17
114820,2009-08-27
387270,2021-05-25
412770,2021-12-22
418670,2022-02-22
371450,2020-12-08
248270,2016-07-01
139310,2011-04-08
139320,2011-04-08
133690,2010-10-18
137610,2011-01-11
272580,2017-06-29
157450,2012-05-16
105010,2008-08-27
341850,2020-05-22
329200,2019-07-19
147970,2011-10-26
429000,2022-05-17
360750,2020-08-07
435420,2022-07-06
429010,2022-05-17
245340,2016-07-01
329750,2019-07-24
305080,2018-08-30
381170,2021-04-09
381180,2021-04-09
228810,2015-10-07
91230,2006-06-27
98560,2007-09-07
138520,2011-03-07
157490,2012-05-16
228800,2015-10-07
227570,2015-09-23
261140,2017-01-06
130680,2010-08-02
245350,2016-07-01
91220,2006-06-27
307510,2018-11-08
241180,2016-03-31
292560,2018-04-17
248260,2016-07-01
150460,2011-12-16
302190,2018-07-20
157500,2012-05-16
307520,2018-11-08
117690,2009-10-21
245360,2016-06-16
414780,2022-01-13
371470,2020-12-08
396520,2021-08-10
371460,2020-12-08
396510,2021-08-10
371160,2020-12-16
166400,2012-10-25
232080,2015-11-12
261060,2016-12-15
261070,2016-12-15
277640,2017-08-31
277650,2017-08-31
277630,2017-08-31
376410,2021-02-05
387280,2021-05-25
143860,2011-07-18
138540,2011-03-10
228790,2015-10-07
394670,2021-07-20
394660,2021-07-20
276000,2017-08-01
139260,2011-04-06
139220,2011-04-06
139290,2011-04-06
139270,2011-04-06
139250,2011-04-06
139230,2011-04-06
139240,2011-04-06
228820,2015-10-14
182480,2013-10-10
217790,2015-04-29
203780,2014-08-27
182490,2014-03-24
174350,2013-06-20
275980,2017-08-01
211560,2014-12-17
195930,2014-04-30
195920,2014-04-30
192090,2014-02-17
210780,2014-12-05
285690,2017-12-13
292730,2018-03-26
402520,2021-09-30
278530,2017-11-21
226980,2015-09-01
337160,2019-11-14
363580,2020-09-25
337150,2019-11-14
223190,2015-06-26
237350,2016-01-27
252650,2016-09-20
360140,2020-08-21
305720,2018-09-12
271060,2017-06-13
368680,2020-11-10
395170,2021-07-30
337120,2019-11-14
325010,2019-05-31
395160,2021-07-30
395150,2021-07-30
266370,2017-03-28
101280,2008-02-20
401470,2021-10-13
385520,2021-05-25
385510,2021-05-25
373490,2020-12-24
423160,2022-04-26
292190,2018-03-26
404260,2021-10-29
229720,2015-10-14
289040,2018-02-07
156080,2012-04-30
278540,2017-11-09
251350,2016-08-17
275280,2017-07-11
275290,2017-07-11
275300,2017-07-11
269420,2017-05-16
291890,2018-03-23
433970,2022-06-30
433980,2022-06-30
434060,2022-06-30
329650,2019-07-04
329660,2019-07-04
329670,2019-07-04
352540,2020-05-13
315930,2019-01-22
261220,2016-12-27
300950,2018-07-24
266390,2017-03-28
279530,2017-10-17
132030,2010-10-01
138910,2011-03-15
114260,2009-07-29
276990,2017-08-17
102960,2008-05-29
352560,2020-05-13
273140,2017-06-29
244620,2016-05-13
428560,2022-05-17
314250,2019-01-10
379800,2021-04-09
276970,2017-08-10
379810,2021-04-09
304940,2018-08-30
261240,2016-12-27
280930,2017-11-09
411420,2021-12-22
390390,2021-06-30
390400,2021-06-30
218420,2015-04-28
308620,2018-10-19
304660,2018-09-12
419420,2022-03-22
266360,2017-03-28
244580,2016-05-13
91160,2006-06-27
325020,2019-05-31
211900,2014-12-17
237370,2016-01-27
244670,2016-05-13
102780,2008-05-21
400570,2021-09-30
144600,2011-07-18
91170,2006-06-27
91180,2006-06-27
363570,2020-09-25
273130,2017-06-29
102970,2008-05-29
419430,2022-03-22
283580,2017-12-13
169950,2013-01-21
99140,2007-10-10
415340,2022-01-13
428510,2022-05-17
256750,2016-11-08
372330,2020-12-16
279540,2017-10-17
229200,2015-10-01
360150,2020-08-21
226490,2015-08-24
359210,2020-07-21
337140,2019-11-14
138920,2011-03-15
244660,2016-05-13
375770,2021-02-05
266410,2017-03-28
298770,2018-06-11
266420,2017-03-28
364690,2020-09-29
69500,2002-10-14
284430,2017-11-30
321410,2019-06-05
219480,2015-05-29
152380,2012-01-20
117700,2009-10-30
214980,2015-03-03
153130,2012-02-22
185680,2013-10-31
200030,2014-06-12
140700,2011-04-26
213610,2015-01-08
117460,2009-10-12
140710,2011-04-26
117680,2009-10-30
411540,2021-12-09
295040,2018-04-23
363510,2020-09-09
292500,2018-03-26
404650,2021-10-29
400590,2021-09-30
433330,2022-06-21
399110,2021-09-14
400580,2021-09-30
220130,2015-06-08
415760,2022-01-13
413220,2021-12-22
423170,2022-04-12
429980,2022-06-14
429990,2022-06-14
433220,2022-06-28
407830,2021-11-16
407820,2021-11-16
413930,2022-01-05
426150,2022-05-11
108590,2009-01-23
145850,2011-09-23
153270,2012-02-28
148070,2011-10-20
294400,2018-04-23
69660,2002-10-14
331910,2019-08-13
100910,2008-01-23
200250,2014-06-26
104530,2008-07-29
114470,2009-07-31
130730,2010-07-29
411860,2021-12-22
394340,2021-07-20
394350,2021-07-20
430500,2022-05-31
426330,2022-04-26
138230,2011-02-24
373790,2020-12-24
104520,2008-07-29
316670,2019-01-22
122260,2010-01-14
435530,2022-06-30
435540,2022-06-30
435550,2022-06-30
437550,2022-07-29
419890,2022-03-03
429870,2022-05-24
385720,2021-05-25
410870,2021-12-15
426020,2022-05-11
426030,2022-05-11
385710,2021-05-25
404120,2021-10-29
168300,2012-11-12
422260,2022-03-29
332500,2019-08-28
385590,2021-05-25
380340,2021-04-02
414270,2022-02-15
368470,2020-11-10
356540,2020-07-21
411060,2021-12-15
277540,2017-08-23
114460,2009-07-31
365780,2020-10-15
411050,2021-12-22
435040,2022-06-28
181480,2013-08-01
190620,2013-12-23
265690,2017-03-21
291130,2018-03-09
342140,2019-12-27
280320,2017-10-17
360200,2020-08-07
309230,2018-10-25
402970,2021-10-21
