단축코드,시작날짜,상장좌수
100910,20080201,1800000
101280,20080303,600000
102110,20080502,65050000
102780,20080602,153500000
102960,20080602,3000000
102970,20080602,6550000
104520,20080801,1000000
104530,20080801,1350000
105010,20080901,1500000
105190,20081001,15950000
105780,20081103,1000000
108450,20090302,2400000
108590,20090202,250000
114100,20090803,215000
114260,20090803,2142000
114460,20090901,360000
114470,20090901,330000
114820,20090901,630000
117460,20091102,1330000
117680,20091201,5250000
117690,20091102,450000
117700,20091201,23200000
122090,20100201,810000
122260,20100201,500000
130680,20100802,6200000
130730,20100802,1100000
131890,20101001,500000
132030,20101001,15600000
133690,20101101,29470000
136340,20110502,431000
137610,20110201,4200000
137930,20110302,600000
138230,20110302,2780000
138520,20110401,2320000
138530,20110401,1380000
138540,20110401,5920000
138910,20110401,1900000
138920,20110401,700000
139220,20110502,33600000
139230,20110502,21440000
139240,20110502,1300000
139250,20110502,1080000
139260,20110502,25300000
139270,20110502,3800000
139280,20110502,8020000
139290,20110502,340000
139310,20110502,600000
139320,20110502,800000
140570,20110502,400000
140580,20110502,500000
140700,20110502,2500000
140710,20110502,3500000
140950,20110601,440000
143460,20110701,900000
143850,20110801,6400000
143860,20110801,5360000
144600,20110801,19400000
145850,20111004,250000
147970,20111101,280000
148020,20111101,33500000
148070,20111101,3760000
150460,20120102,16440000
152100,20120201,20550000
152380,20120201,564000
152870,20120302,2050000
153130,20120302,11897000
153270,20120302,600000
156080,20120601,600000
157450,20120601,16934000
157490,20120601,6640000
157500,20120601,1360000
159800,20120801,280000
160580,20130102,2350000
161510,20120903,15390000
166400,20121101,500000
168300,20121203,840000
168580,20121203,6700000
169950,20130201,1300000
174350,20130701,1680000
174360,20130701,3600000
181480,20130801,180000
182480,20131101,13000000
182490,20140401,1200000
183700,20131101,240000
183710,20131101,200000
185680,20131202,406000
189400,20140102,510000
190620,20140102,3398000
192090,20140303,18400000
192720,20140303,240000
195920,20140602,640000
195930,20140602,4500000
195970,20140602,740000
195980,20140602,7180000
196230,20140602,4729000
200030,20140701,574000
200250,20140701,3500000
203780,20140901,2160000
210780,20150102,1710000
211560,20150102,750000
211900,20150102,1250000
213610,20150202,30200000
213630,20150202,1030000
214980,20150401,15746000
215620,20150401,450000
217790,20150504,200000
218420,20150504,1944000
219390,20150701,4950000
219480,20150701,7000000
220130,20150701,900000
223190,20150701,1600000
226380,20150901,1000000
226490,20150901,16100000
226980,20150901,500000
227540,20151001,1860000
227550,20151001,940000
227560,20151001,480000
227570,20151001,1230000
227830,20151001,300000
228790,20151102,27750000
228800,20151102,45510000
228810,20151102,18150000
228820,20151102,850000
229200,20151001,52900000
229720,20151102,600000
232080,20151201,12000000
234310,20160302,500000
237350,20160201,700000
237370,20160201,1800000
237440,20160201,800000
238670,20160302,600000
238720,20160401,700000
239660,20160401,180000
241180,20160502,21100000
241390,20160502,1200000
244580,20160601,4640000
244620,20160601,800000
244660,20160601,500000
244670,20160601,900000
245340,20160701,4840000
245350,20160701,1400000
245360,20160701,9900000
245710,20160701,8000000
248260,20160701,1000000
248270,20160701,1500000
250730,20160901,1400000
251350,20160901,23500000
251590,20160901,1200000
251600,20160901,1100000
251890,20161004,600000
252000,20161004,2100000
252650,20161004,1000000
252720,20161101,100000
252730,20161101,200000
253280,20161004,500000
253290,20161004,1200000
256440,20161101,4100000
256450,20161201,600000
256750,20161201,4100000
261060,20170102,480000
261070,20170102,1100000
261140,20170201,760000
261220,20170102,5450000
261240,20170102,7810000
261920,20170102,400000
265690,20170403,1850000
266160,20170502,5850000
266360,20170403,2200000
266370,20170403,1800000
266390,20170403,700000
266410,20170403,2200000
266420,20170403,2100000
266550,20170403,300000
267440,20170502,500000
269370,20170601,700000
269420,20170601,1796000
269530,20170601,500000
269540,20170601,3000000
270800,20170801,650000
270810,20170703,10240000
271060,20170703,1350000
272220,20170801,400000
272230,20170801,700000
272560,20170703,758000
272570,20170703,94000
272580,20170703,9622000
272910,20170703,93000
273130,20170703,12514000
273140,20170703,1105000
275280,20170801,600000
275290,20170801,700000
275300,20170801,600000
275980,20170801,11360000
276000,20170801,950000
276650,20170901,1200000
276970,20170901,5000000
276990,20170901,1090000
277540,20170901,1650000
277630,20171010,4400000
277640,20171010,400000
277650,20171010,400000
278420,20171010,400000
278530,20171201,104550000
278540,20171201,58300000
278620,20171010,78000
279530,20171101,3100000
279540,20171101,1000000
280320,20171101,800000
280920,20171101,350000
280930,20171201,2000000
281990,20171201,400000
283580,20180102,7400000
284430,20180102,2960000
284980,20180102,520000
284990,20180102,100000
285000,20180102,380000
285010,20180102,520000
285020,20180102,280000
285690,20180102,1250000
287180,20180102,1350000
287300,20180102,280000
287310,20180102,80000
287320,20180102,80000
287330,20180102,140000
289040,20180302,1600000
289250,20180302,1200000
289260,20180302,1860000
289480,20180302,600000
289670,20180302,244000
290080,20180302,700000
290130,20180302,23050000
291130,20180402,800000
291890,20180402,600000
292050,20180402,650000
292150,20180502,128400000
292160,20180402,1300000
292190,20180402,2400000
292500,20180402,700000
292560,20180502,1500000
292730,20180402,1000000
292750,20180402,600000
293180,20180502,19350000
