종목코드,Assets,Liabilities ,SetDate
024110,2.36965E+14,2.19702E+14,2015-12-31
024110,2.4392E+14,2.26534E+14,2016-03-31
024110,2.46418E+14,2.28557E+14,2016-06-30
024110,2.49369E+14,2.31103E+14,2016-09-30
024110,2.53024E+14,2.35046E+14,2016-12-31
024110,2.53381E+14,2.35065E+14,2017-03-31
024110,2.62483E+14,2.43641E+14,2017-06-30
024110,2.68632E+14,2.49143E+14,2017-09-30
024110,2.68835E+14,2.49154E+14,2017-12-31
024110,2.70735E+14,2.5094E+14,2018-03-31
024110,2.77158E+14,2.5691E+14,2018-06-30
024110,2.79701E+14,2.59011E+14,2018-09-30
024110,2.83185E+14,2.6226E+14,2018-12-31
024110,2.92839E+14,2.71005E+14,2019-03-31
024110,2.98498E+14,2.76208E+14,2019-06-30
024110,3.04424E+14,2.81675E+14,2019-09-30
024110,3.10373E+14,2.87596E+14,2019-12-31
024110,3.18806E+14,2.95741E+14,2020-03-31
024110,3.35788E+14,3.11609E+14,2020-06-30
024110,3.44569E+14,3.19503E+14,2020-09-30
024110,3.52892E+14,3.2775E+14,2020-12-31
024110,3.6104E+14,3.35266E+14,2021-03-31
024110,3.68995E+14,3.42584E+14,2021-06-30
024110,3.76927E+14,3.49958E+14,2021-09-30
024110,3.87899E+14,3.60365E+14,2021-12-31
024110,4.00005E+14,3.72877E+14,2022-03-31
024110,4.109E+14,3.8357E+14,2022-06-30
024110,4.22536E+14,3.94361E+14,2022-09-30
024110,4.20608E+14,3.915E+14,2022-12-31
006220,4.4646E+12,4.14658E+12,2015-12-31
006220,4.64003E+12,4.31706E+12,2016-03-31
006220,4.99166E+12,4.66562E+12,2016-06-30
006220,5.07393E+12,4.74561E+12,2016-09-30
006220,5.18483E+12,4.84918E+12,2016-12-31
006220,5.49442E+12,5.15305E+12,2017-03-31
006220,5.41138E+12,5.06483E+12,2017-06-30
006220,5.71258E+12,5.31093E+12,2017-09-30
006220,5.56292E+12,5.15812E+12,2017-12-31
006220,5.69965E+12,5.29889E+12,2018-03-31
006220,5.59972E+12,5.18957E+12,2018-06-30
006220,5.73009E+12,5.31121E+12,2018-09-30
006220,5.98094E+12,5.50795E+12,2018-12-31
006220,5.94903E+12,5.47199E+12,2019-03-31
006220,5.97702E+12,5.49015E+12,2019-06-30
006220,6.0279E+12,5.53531E+12,2019-09-30
006220,6.19293E+12,5.69522E+12,2019-12-31
006220,6.22216E+12,5.72122E+12,2020-03-31
006220,6.4649E+12,5.95735E+12,2020-06-30
006220,6.51709E+12,6.00646E+12,2020-09-30
006220,6.53184E+12,6.0224E+12,2020-12-31
006220,6.51229E+12,6.00185E+12,2021-03-31
006220,6.65078E+12,6.13587E+12,2021-06-30
006220,6.8217E+12,6.30157E+12,2021-09-30
006220,6.94422E+12,6.42827E+12,2021-12-31
006220,7.06493E+12,6.55492E+12,2022-03-31
006220,7.16012E+12,6.65393E+12,2022-06-30
006220,7.12263E+12,6.613E+12,2022-09-30
006220,7.3203E+12,6.79845E+12,2022-12-31
085620,2.67902E+13,2.49356E+13,2015-12-31
085620,2.70509E+13,2.50775E+13,2016-03-31
085620,2.76685E+13,2.55431E+13,2016-06-30
085620,2.81258E+13,2.59998E+13,2016-09-30
085620,2.8304E+13,2.64303E+13,2016-12-31
085620,2.80245E+13,2.6181E+13,2017-03-31
085620,2.86391E+13,2.67182E+13,2017-06-30
085620,2.90017E+13,2.70734E+13,2017-09-30
085620,2.96579E+13,2.77397E+13,2017-12-31
085620,3.51513E+13,3.31489E+13,2018-03-31
