종목코드,Revenue,OperatingIncomeLoss,ProfitLoss,SetDate
024110,3.20228E+12,3.27306E+11,2.20227E+11,2015-12-31
024110,5.34362E+12,4.71254E+11,3.67502E+11,2016-03-31
024110,3.41743E+12,3.80245E+11,2.78592E+11,2016-06-30
024110,4.88839E+12,3.69451E+11,2.7212E+11,2016-09-30
024110,3.34344E+12,2.70999E+11,2.05825E+11,2016-12-31
024110,6.58022E+12,5.65564E+11,4.27241E+11,2017-03-31
024110,2.852E+12,4.61241E+11,3.46579E+11,2017-06-30
024110,3.70099E+12,5.78107E+11,4.38519E+11,2017-09-30
024110,4.93817E+12,3.72381E+11,2.41394E+11,2017-12-31
024110,4.08227E+12,6.83703E+11,4.99999E+11,2018-03-31
024110,4.86745E+12,5.77574E+11,4.08297E+11,2018-06-30
024110,3.42329E+12,6.92912E+11,5.02917E+11,2018-09-30
024110,4.15844E+12,4.11001E+11,2.94594E+11,2018-12-31
024110,4.58644E+12,7.29682E+11,5.57043E+11,2019-03-31
024110,4.87726E+12,5.60853E+11,4.28865E+11,2019-06-30
024110,4.99874E+12,4.97416E+11,3.81926E+11,2019-09-30
024110,3.43911E+12,3.97966E+11,2.45967E+11,2019-12-31
024110,7.52602E+12,6.47135E+11,5.00092E+11,2020-03-31
024110,3.5614E+12,4.08254E+11,3.20264E+11,2020-06-30
024110,3.2473E+12,4.67681E+11,3.66036E+11,2020-09-30
024110,5.56797E+12,5.40016E+11,3.59753E+11,2020-12-31
024110,5.32389E+12,7.60083E+11,5.91569E+11,2021-03-31
024110,3.75652E+12,7.9559E+11,6.21799E+11,2021-06-30
024110,5.89599E+12,8.00058E+11,6.09969E+11,2021-09-30
024110,3.60443E+12,8.04941E+11,5.97447E+11,2021-12-31
024110,5.61758E+12,8.39081E+11,6.59959E+11,2022-03-31
024110,8.00828E+12,7.34029E+11,5.66429E+11,2022-06-30
024110,1.09148E+13,1.08638E+12,7.96274E+11,2022-09-30
024110,4.76598E+12,1.08932E+12,7.58129E+11,2022-12-31
006220,43273000000,5110000000,3669000000,2015-12-31
006220,45223000000,7598000000,6052000000,2016-03-31
006220,46985000000,9810000000,7385000000,2016-06-30
006220,48188000000,4846000000,3596000000,2016-09-30
006220,49795000000,8944000000,8125000000,2016-12-31
006220,49856000000,10234000000,8342000000,2017-03-31
006220,51023000000,9744000000,7199000000,2017-06-30
006220,52589000000,9800000000,7229000000,2017-09-30
006220,55189000000,3928000000,2373000000,2017-12-31
006220,53387000000,7000000000,5448000000,2018-03-31
006220,56583000000,11995000000,9258000000,2018-06-30
006220,57316000000,11101000000,8189000000,2018-09-30
006220,57494000000,5667000000,4551000000,2018-12-31
006220,58915000000,9262000000,6951000000,2019-03-31
