종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액기준구성비중
329180,현대중공업,23.00,"3,174,000","3,059,000",0.61
003240,태광산업,3.00,"2,988,000","2,886,000",0.58
051910,LG화학,5.00,"2,915,000","2,810,000",0.56
006400,삼성SDI,5.00,"2,800,000","2,745,000",0.55
010130,고려아연,5.00,"2,785,000","2,730,000",0.54
000210,DL,39.00,"2,761,200","2,718,300",0.54
004370,농심,10.00,"2,755,000","2,680,000",0.53
051900,LG생활건강,4.00,"2,688,000","2,660,000",0.53
128940,한미약품,9.00,"2,754,000","2,655,000",0.53
114090,GKL,180.00,"2,754,000","2,628,000",0.52
180640,한진칼,44.00,"2,706,000","2,626,800",0.52
034730,SK,11.00,"2,711,500","2,623,500",0.52
028050,삼성엔지니어링,110.00,"2,689,500","2,623,500",0.52
000070,삼양홀딩스,33.00,"2,649,900","2,620,200",0.52
036570,엔씨소프트,6.00,"2,742,000","2,619,000",0.52
010950,S-Oil,22.00,"2,673,000","2,618,000",0.52
036460,한국가스공사,56.00,"2,693,600","2,615,200",0.52
047810,한국항공우주,45.00,"2,614,500","2,614,500",0.52
096770,SK이노베이션,11.00,"2,684,000","2,612,500",0.52

























































