종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"329180","현대중공업","23.00","3116500","3105000","0.66"
"271560","오리온","28.00","3024000","2940000","0.63"
"068270","셀트리온","16.00","2872000","2928000","0.62"
"004370","농심","10.00","2865000","2915000","0.62"
"128940","한미약품","9.00","2677500","2866500","0.61"
"010120","LS ELECTRIC","48.00","2688000","2836800","0.60"
"097950","CJ제일제당","7.00","2803500","2782500","0.59"
"001800","오리온홀딩스","184.00","2824400","2760000","0.59"
"051900","LG생활건강","4.00","2692000","2752000","0.59"
"010060","OCI","20.00","2710000","2750000","0.59"
"003240","태광산업","3.00","2754000","2742000","0.58"
"180640","한진칼","44.00","2750000","2732400","0.58"
"051600","한전KPS","71.00","2701550","2729950","0.58"
"000210","DL","39.00","2733900","2726100","0.58"
"010620","현대미포조선","31.00","2635000","2703200","0.58"
"383220","F&F","20.00","2580000","2690000","0.57"
"028260","삼성물산","22.00","2673000","2684000","0.57"
"006400","삼성SDI","5.00","2530000","2680000","0.57"
"000120","CJ대한통운","22.00","2585000","2673000","0.57"
"069620","대웅제약","15.00","2602500","2670000","0.57"
"030200","KT","71.00","2637650","2655400","0.57"
"282330","BGF리테일","14.00","2646000","2653000","0.57"
"001450","현대해상","82.00","2591200","2636300","0.56"
"004990","롯데지주","71.00","2651850","2630550","0.56"
"026960","동서","99.00","2628450","2618550","0.56"
"001680","대상","120.00","2628000","2598000","0.55"
"007310","오뚜기","6.00","2625000","2598000","0.55"
"000100","유한양행","45.00","2565000","2596500","0.55"
"015760","한국전력","113.00","2553800","2593350","0.55"
"003550","LG","32.00","2512000","2585600","0.55"
"014820","동원시스템즈","48.00","2553600","2582400","0.55"
"042660","대우조선해양","116.00","2575200","2575200","0.55"
"302440","SK바이오사이언스","21.00","2060100","2572500","0.55"
"010140","삼성중공업","439.00","2515470","2568150","0.55"
"051910","LG화학","5.00","2500000","2560000","0.55"
"185750","종근당","29.00","2540400","2554900","0.54"
"000810","삼성화재","13.00","2619500","2554500","0.54"
"000720","현대건설","63.00","2538900","2551500","0.54"
"017670","SK텔레콤","47.00","2519200","2547400","0.54"
"032830","삼성생명","40.00","2496000","2540000","0.54"
"021240","코웨이","40.00","2540000","2540000","0.54"
"112610","씨에스윈드","48.00","2587200","2539200","0.54"
"033780","KT&G","31.00","2545100","2532700","0.54"
"009420","한올바이오파마","148.00","2486400","2523400","0.54"
