단축코드,한글종목명,한글종목약명,상장일,기초지수명
159800,DB마이티K100증권상장지수투자신탁(주식),마이티 코스피100,2012/07/05,코스피 100
361580,KB KBSTAR 200 Total Return증권상장지수투자신탁(주식),KBSTAR 200TR,2020/08/21,코스피 200 TR
285000,KB KBSTAR 200IT증권상장지수투자신탁(주식),KBSTAR 200IT,2017/12/08,코스피 200 정보기술
287300,KB KBSTAR 200건설증권상장지수투자신탁(주식),KBSTAR 200건설,2017/12/22,코스피 200 건설
287310,KB KBSTAR 200경기소비재증권상장지수투자신탁(주식),KBSTAR 200경기소비재,2017/12/22,코스피 200 경기소비재
290080,KB KBSTAR 200고배당커버드콜ATM증권상장지수투자신탁(주식-파생형),KBSTAR 200고배당커버드콜ATM,2018/02/27,코스피 200 고배당커버드콜 ATM 지수(시장가격지수)
284980,KB KBSTAR 200금융증권상장지수투자신탁(주식),KBSTAR 200금융,2017/12/08,코스피 200 금융
287320,KB KBSTAR 200산업재증권상장지수투자신탁(주식),KBSTAR 200산업재,2017/12/22,코스피 200 산업재
287330,KB KBSTAR 200생활소비재증권상장지수투자신탁(주식),KBSTAR 200생활소비재,2017/12/22,코스피 200 생활소비재
284990,KB KBSTAR 200에너지화학증권상장지수투자신탁(주식),KBSTAR 200에너지화학,2017/12/08,코스피 200 에너지/화학
285010,KB KBSTAR 200중공업증권상장지수투자신탁(주식),KBSTAR 200중공업,2017/12/08,코스피 200 중공업
148020,KB KBSTAR 200증권상장지수투자신탁(주식),KBSTAR 200,2011/10/20,코스피 200
285020,KB KBSTAR 200철강소재증권상장지수투자신탁(주식),KBSTAR 200철강소재,2017/12/08,코스피 200 철강/소재
315480,KB KBSTAR 200커뮤니케이션서비스증권상장지수투자신탁(주식),KBSTAR 200커뮤니케이션서비스,2019/01/15,코스피 200 커뮤니케이션서비스
422420,KB KBSTAR 2차전지액티브증권상장지수투자신탁(주식),KBSTAR 2차전지액티브,2022/04/08,iSelect 2차전지 지수 (시장가격지수)
105780,KB KBSTAR 5대그룹주증권상장지수투자신탁(주식),KBSTAR 5대그룹주,2008/10/22,MKF 5대그룹주
290130,KB KBSTAR ESG사회책임투자증권상장지수투자신탁(주식),KBSTAR ESG사회책임투자,2018/02/27,KRX ESG 사회책임경영지수(S)
368200,KB KBSTAR Fn K-뉴딜디지털플러스증권상장지수투자신탁(주식),KBSTAR Fn K-뉴딜디지털플러스,2020/11/10,FnGuide K-뉴딜 디지털 플러스 지수
367760,KB KBSTAR Fn5G테크증권상장지수투자신탁(주식),KBSTAR Fn5G테크,2020/10/29,FnGuide 5G 테크 지수
367770,KB KBSTAR Fn수소경제테마증권상장지수투자신탁(주식),KBSTAR Fn수소경제테마,2020/10/29,FnGuide 수소 경제 테마 지수
427110,KB KBSTAR Fn창업투자회사증권상장지수투자신탁(주식),KBSTAR Fn창업투자회사,2022/05/17,FnGuide 창업투자회사 지수(시장가격지수)
388280,KB KBSTAR Fn컨택트대표 증권상장지수투자신탁(주식),KBSTAR Fn컨택트대표,2021/06/10,FnGuide 컨택트대표 지수(시장가격지수)
427120,KB KBSTAR Fn플랫폼테마증권상장지수투자신탁(주식),KBSTAR Fn플랫폼테마,2022/05/17,FnGuide 플랫폼테마 지수(시장가격지수)
326240,KB KBSTAR IT플러스증권상장지수투자신탁(주식),KBSTAR IT플러스,2019/06/20,FnGuide IT플러스 지수
385560,KB KBSTAR KIS국고채30년Enhanced증권상장지수투자신탁(채권),KBSTAR KIS국고채30년Enhanced,2021/05/26,KIS 국고채30년Enhanced지수(시장가격)
385550,KB KBSTAR KIS단기종합채권(AA-이상)액티브증권상장지수투자신탁(채권),KBSTAR KIS단기종합채권(AA-이상)액티브,2021/05/26,KIS 단기종합채권지수(AA-이상)(총수익지수)
385540,KB KBSTAR KIS종합채권(A-이상)액티브증권상장지수투자신탁(채권),KBSTAR KIS종합채권(A-이상)액티브,2021/05/26,KIS 종합채권 지수(A-이상)(총수익지수)
270800,KB KBSTAR KQ고배당증권상장지수투자신탁(주식),KBSTAR KQ고배당,2017/07/07,FnGuide KQ고배당포커스 지수
319870,KB KBSTAR KRX300미국달러선물혼합자산상장지수투자신탁(혼합-파생형),KBSTAR KRX300미국달러선물혼합,2019/03/19,KRX 300 미국달러 선물혼합지수
292050,KB KBSTAR KRX300증권상장지수투자신탁(주식),KBSTAR KRX300,2018/03/26,KRX 300
403990,KB KBSTAR KRX기후변화솔루션증권상장지수투자신탁(주식),KBSTAR KRX기후변화솔루션,2021/10/29,KRX 기후변화 솔루션지수
234310,KB KBSTAR V&S셀렉트밸류증권상장지수투자신탁(주식),KBSTAR V&S셀렉트밸류,2016/02/02,FnGuide 셀렉트 밸류 지수
241390,KB KBSTAR V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합),KBSTAR V&S셀렉트밸류채권혼합,2016/04/12,FnGuide 셀렉트벨류 채권혼합지수
