Date,Open,High,Low,Close,Volume,Change
2018-03-30,9058,9058,8998,9004,161,
2018-04-02,8950,9003,8925,8933,36,-0.007885384273656149
2018-04-03,8840,8896,8787,8898,4,-0.003918056643904655
2018-04-04,8933,8933,8811,8815,186,-0.009327938862665808
2018-04-05,8920,8920,8920,8923,0,0.012251843448667143
2018-04-06,8845,8845,8830,8834,4,-0.009974223915723446
2018-04-09,8867,8867,8867,8872,0,0.004301562146253213
2018-04-10,8811,8811,8801,8805,108,-0.007551848512173165
2018-04-11,8911,8920,8911,8923,108,0.013401476433844373
2018-04-12,8929,8929,8929,8933,0,0.0011206993163734857
2018-04-13,8950,8950,8950,8957,0,0.002686667412963084
2018-04-16,8960,8960,8960,8966,1,0.0010048007145249116
2018-04-17,8960,8960,8960,8966,0,0.0
2018-04-18,9083,9115,9073,9106,1067,0.015614543832255245
2018-04-19,9158,9158,9158,9162,0,0.006149791346365063
2018-04-20,9054,9073,9050,9079,219,-0.009059157389216366
2018-04-23,9027,9027,9018,9023,6,-0.006168080185042446
2018-04-24,8989,8989,8960,8966,5,-0.006317189404854262
2018-04-25,8936,8936,8936,8943,1,-0.0025652464867276237
2018-04-26,9073,9073,9054,9061,40,0.01319467740131941
2018-04-27,9120,9120,9120,9126,1,0.007173601147776099
2018-04-30,9196,9196,9140,9145,2,0.002081963620425231
2018-05-02,9140,9140,9074,9079,14,-0.007217058501913565
2018-05-03,9074,9074,9074,9079,0,0.0
2018-05-04,9008,9008,8979,8985,12,-0.010353563167749713
2018-05-08,8965,8965,8950,8957,424,-0.0031163049526989894
2018-05-09,8858,8858,8858,8863,1,-0.01049458524059399
2018-05-10,8941,8941,8941,8947,1,0.009477603520252842
2018-05-11,9003,9003,9003,9009,1,0.006929697105174881
2018-05-14,8941,8946,8941,8952,15,-0.006327006327006335
2018-05-15,8891,8891,8891,8894,53,-0.006478999106344974
2018-05-16,8896,8896,8896,8898,0,0.0004497413986956911
2018-05-17,8901,8901,8901,8903,58,0.0005619240278713633
2018-05-18,8882,8911,8882,8913,7,0.0011232168931820663
2018-05-21,8863,8941,8863,8947,18,0.0038146527544036246
2018-05-23,9022,9022,9022,9027,10,0.008941544651838607
