종목코드,유동자산,자산총계,유동부채,부채총계,결산기준일
60310,16791707967.0,60714756156.0,18003868361.0,24385047820.0,2016-06-30
95570,263730094400.0,1809954918381.0,885766220135.0,1398491336539.0,2016-03-31
68400,93178377401.0,1067619478654.0,522852617102.0,838822701482.0,2016-03-31
6840,988631258591.0,2506602627095.0,1223382679959.0,1583122119182.0,2016-03-31
54620,154120827818.0,303799140992.0,148175547039.0,179113109129.0,2016-03-31
27410,827267620396.0,1689060079643.0,669113158245.0,902588742279.0,2016-03-31
1460,93286177745.0,708280489422.0,135107941921.0,326541759214.0,2016-03-31
1040,7429199820000.0,24656327426000.0,7948957221000.0,14394530794000.0,2016-03-31
79160,339271545954.0,1396270291215.0,472397593039.0,945475418328.0,2016-03-31
130960,735096408768.0,2336910274568.0,694035167498.0,759623981448.0,2016-03-31
120,1372167559751.0,5065933473030.0,1626481569423.0,2444112525188.0,2016-03-31
35760,760957624425.0,2955837876728.0,971499372177.0,1577022053746.0,2016-03-31
97950,4714586369000.0,14937169046000.0,4610864724000.0,9194449455000.0,2016-03-31
51500,420559426737.0,771142093380.0,408314973779.0,569528117539.0,2016-03-31
58820,26606757234.0,57347236780.0,9411988764.0,10279924210.0,2016-03-31
23460,147703217243.0,437677573952.0,18042770145.0,350655052413.0,2016-03-31
590,170593164836.0,285607842295.0,23561302122.0,34828136648.0,2016-03-31
68790,106422077908.0,223600570156.0,119090191979.0,127429238656.0,2016-03-31
4840,333702085164.0,643964472449.0,213273807583.0,249047691375.0,2016-03-31
155660,114412815647.0,183644591009.0,53585872570.0,59484056824.0,2016-03-31
17940,1335930971540.0,3446935577892.0,944437916348.0,2198585135346.0,2016-03-31
37370,50150434556.0,96193395978.0,30720690689.0,43865151815.0,2016-03-31
7700,166241516720.0,311012600245.0,88924625699.0,113963369878.0,2016-03-31
78930,2587777000000.0,20111558000000.0,3775309000000.0,12060662000000.0,2016-03-31
83450,36242296173.0,71595171476.0,11772174704.0,15693342482.0,2016-03-31
6360,9173379516728.0,12713919280674.0,6789707314666.0,9321608403750.0,2016-03-31
1250,761863894430.0,1347973756603.0,911322727121.0,1157910548734.0,2016-03-31
7070,525636883426.0,4855251350955.0,1042771594068.0,2743842131063.0,2016-03-31
28150,802733206887.0,1308450053733.0,383344794173.0,395849909824.0,2016-03-31
36640,36791098031.0,89418724393.0,14360158766.0,16852836939.0,2016-03-31
95340,74044115990.0,197317220183.0,31466823799.0,39689724516.0,2016-03-31
67290,69638724794.0,142750692676.0,72513505566.0,78904161662.0,2016-03-31
1060,380940407210.0,616715915986.0,292558932386.0,388873029362.0,2016-03-31
96760,613868893680.0,1115904764705.0,650815928546.0,844702964276.0,2016-03-31
35900,33249555363.0,76732107369.0,16995171171.0,17055171171.0,2016-03-31
21320,591170480222.0,887730470567.0,436394403860.0,580518208621.0,2016-03-31
9440,168970000696.0,461511095368.0,145069998957.0,261521153899.0,2016-03-31
119650,78788041356.0,145300564742.0,68135902487.0,88785853510.0,2016-03-31
92220,166223885917.0,344901733779.0,129082038907.0,191800350723.0,2016-03-31
35600,409420393899.0,600234938948.0,302635521598.0,375722323673.0,2016-03-31
1390,552269423107.0,1140797923919.0,481216300714.0,677981404533.0,2016-03-31
60720,168380673950.0,419426437546.0,142861559555.0,146742099015.0,2016-03-31
1940,734965260064.0,1414114409058.0,152722240880.0,201348755388.0,2016-03-31
122450,116904117144.0,220658811516.0,33992532545.0,41829056487.0,2016-03-31
58400,53858236024.0,188922285537.0,12867536702.0,16365332442.0,2016-03-31
25000,322006381420.0,512432325794.0,94639664958.0,102917429951.0,2016-03-31
