종목코드,매출액,영업이익,당기순이익,결산기준일
1040,22750108548000.0,1409144168000.0,864001332000.0,2016-03-31
120,5780863226412.0,212905485016.0,105282450044.0,2016-03-31
155660,195316144096.0,13166077316.0,10396503624.0,2016-03-31
78930,12371888000000.0,1296488000000.0,656268000000.0,2016-03-31
6360,10556483180748.0,116481280708.0,31243248364.0,2016-03-31
1250,2269096849840.0,21995033452.0,22886795792.0,2016-03-31
28150,1127249507584.0,126514477688.0,140216410252.0,2016-03-31
3550,9409456000000.0,1316952000000.0,1168980000000.0,2016-03-31
1120,12061350094052.0,178421175656.0,134432495432.0,2016-03-31
51900,6077520457920.0,934051990096.0,642206403848.0,2016-03-31
32640,10851180000000.0,682388000000.0,440292000000.0,2016-03-31
11070,4780140431536.0,1617977680.0,-48474149916.0,2016-03-31
66570,53448360000000.0,2020652000000.0,792272000000.0,2016-03-31
108670,2703052000000.0,155428000000.0,87692000000.0,2016-03-31
51910,19496368000000.0,1830980000000.0,1352500000000.0,2016-03-31
10060,3558846728000.0,295269456000.0,991501868000.0,2016-03-31
17670,16913852000000.0,1608508000000.0,2289192000000.0,2016-03-31
9450,527747739784.0,63494251088.0,50206097920.0,2016-03-31
50,365216165680.0,28743497816.0,12343956136.0,2016-03-31
13580,1485544626804.0,35485035164.0,12759687376.0,2016-03-31
11780,3486057960524.0,185235429436.0,153508918320.0,2016-03-31
270,50597468000000.0,2534488000000.0,3778336000000.0,2016-03-31
4270,93650153560.0,7200428660.0,3048095756.0,2016-03-31
95660,228289358172.0,49303548336.0,31056721280.0,2016-03-31
42420,238786019080.0,48445250688.0,38439773512.0,2016-03-31
90350,417239837520.0,21214956144.0,12356960136.0,2016-03-31
320,637943561880.0,18196274812.0,44676742876.0,2016-03-31
4370,2272542470352.0,129643982324.0,574927792380.0,2016-03-31
54050,113870815868.0,29296217472.0,22666432360.0,2016-03-31
64260,121747185652.0,2507927952.0,-374597124.0,2016-03-31
19680,836599994308.0,38803226004.0,49022374504.0,2016-03-31
6370,144994054608.0,-2535322624.0,-1343663220.0,2016-06-30
210,9014836656740.0,363103468428.0,124148297920.0,2016-03-31
5620,913691189872.0,-4895107740.0,-96208068912.0,2016-03-31
45390,81045616960.0,9793641204.0,7997353584.0,2016-03-31
47040,10279606481680.0,242140555648.0,-76790804672.0,2016-03-31
42660,14658123917228.0,616715220020.0,741853821540.0,2016-03-31
430,1034223049564.0,48511205240.0,33075758600.0,2016-03-31
100130,353946874756.0,36421862644.0,29778341104.0,2016-03-31
5160,697831796956.0,58276939928.0,38501321108.0,2016-03-31
1230,4899252984000.0,226398360000.0,339334744000.0,2016-03-31
990,735505250744.0,162829952060.0,108963740188.0,2016-03-31
1520,383822449480.0,-9588953268.0,34945863384.0,2016-03-31
84670,134722368600.0,15845339640.0,14033176520.0,2016-03-31
30790,97478014908.0,-4102030624.0,-1143158104.0,2016-03-31
1530,802426078420.0,-1087974452.0,-20458370600.0,2016-03-31
150,15557587167660.0,1036108176884.0,1015561383440.0,2016-03-31
11160,1696094267072.0,97933898720.0,-284825495732.0,2016-03-31
82740,661707334076.0,6875374820.0,20654014112.0,2016-03-31
42670,5734349497852.0,444813609940.0,318278907432.0,2016-03-31
34020,13233873247524.0,910462182548.0,359042740056.0,2016-03-31
3160,80261504536.0,1704957496.0,68731672.0,2016-03-31
108860,35872872528.0,-2289845744.0,-2070062916.0,2016-03-31
171010,28661607508.0,331886672.0,-304257972.0,2016-03-31
131100,48726935188.0,-7592145740.0,-8426876096.0,2016-03-31
5990,1572670494980.0,35167180944.0,28975663772.0,2016-03-31
67280,158486005964.0,9592461944.0,6371320676.0,2016-03-31
